Unique Form ID (MOJ DIGITAL),Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Word Count,Approximate number of pages,Count of references,Number of times that this form is referenced within other forms,Signature,Payment,Attachment,Statement of Truth
2089,539958,CIV APP1: application for civil legal aid certificate,LAA,Form,English,NA,civapp1-version-18-july-2016.pdf,PDF,GOV.UK,NA,1992,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2088,348645,CIV APP11: application for withdrawal,LAA,Form,English,NA,civapp11-version-6-april-2013.pdf,PDF,GOV.UK,NA,2976,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2090,539961,CIV APP3: application for legal aid in family proceedings,LAA,Form,English,NA,civapp3-version-22-july-2016.pdf,PDF,GOV.UK,NA,1044,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2234,496789,Legal aid: exceptional case funding form and guidance,LAA,Form,English,NA,civapp5-version-14-8-2014.pdf,PDF,GOV.UK,NA,1032,NA,NULL,#N/A,#N/A,NA,NA,1,0,No,NA
2092,539963,CIV APP6: legal aid emergency application,LAA,Form,English,NA,civapp6-version-14-july-2016.pdf,PDF,GOV.UK,NA,504,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2095,539965,CIV APP8: application for amendment/prior authority (civil),LAA,Form,English,NA,civapp8-version-19-july-2016.pdf,PDF,GOV.UK,NA,1680,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2073,346453,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Form,Welsh,NA,civcais1-fersiwn-15-ebrill-2013.pdf,PDF,GOV.UK,NA,108,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
2074,346454,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Form,Welsh,NA,civcais3-fersiwn-19-ebrill-2013.pdf,PDF,GOV.UK,NA,120,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
2100,464021,CIV CLAIM1: civil claim form (not fixed fee),LAA,Form,English,NA,civclaim1-version-18-november-2015.pdf,PDF,GOV.UK,NA,2796,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2097,464017,CIV CLAIM1A: fixed fee public and private law schemes,LAA,Form,English,NA,civclaim1a-version-9-november-2015.pdf,PDF,GOV.UK,NA,3084,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2105,464023,CIV CLAIM2: other party costs claim (in full or part),LAA,Form,English,NA,civclaim2-version-13-november-2015.pdf,PDF,GOV.UK,NA,1284,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2173,418865,Family Graduated Fee and Family Advocacy claim forms,LAA,Form,English,NA,civclaim5-version-12-april-2015.pdf,PDF,GOV.UK,NA,540,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2174,418868,Family Graduated Fee and Family Advocacy claim forms,LAA,Form,English,NA,civclaim5a-version-5-april-2015.pdf,PDF,GOV.UK,NA,396,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2116,357301,"CIV MEANS 2A: passported, self employed or in business partnership",LAA,Form,English,NA,civmeans2.pdf,PDF,GOV.UK,NA,384,NA,NULL,#N/A,#N/A,NA,NA,1,0,Yes,NA
2083,346451,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Guidance,Welsh,NA,civmodd1-y-canllaw-ebrill-2013.pdf,PDF,GOV.UK,NA,84,NA,NULL,N/A,#VALUE!,NA,NA,0,0,No,NA
2062,312231,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Form,Welsh,NA,civmodd1a-fersiwn-6-ebrill-2013.pdf,PDF,GOV.UK,NA,84,NA,NULL,#N/A,#N/A,NA,NA,0,0,Yes,NA
2063,312232,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Form,Welsh,NA,civmodd1c-fersiwn-6-ebrill-2013.pdf,PDF,GOV.UK,NA,96,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
2084,346457,Asiantaeth Cymorth Cyfreithiol: ffurflenni Cymraeg (Welsh forms),LAA,Guidance,Welsh,NA,civmodd2-y-canllaw-ebrill-2013.pdf,PDF,GOV.UK,NA,84,NA,NULL,N/A,#VALUE!,NA,NA,0,0,No,NA
2123,418871,CIV POA1: payment on account of claim,LAA,Form,English,NA,civpoa1-version-7-april-2015.doc,DOC,GOV.UK,NA,2712,NA,NULL,#N/A,#N/A,NA,NA,1,0,No,NA
2106,473025,CIV CLAIM2: other party costs claim (in full or part),LAA,Form,English,NA,claim-2-c2-checklist.pdf,PDF,GOV.UK,NA,1020,NA,NULL,#N/A,#N/A,NA,NA,1,1,Yes,NA
2178,421697,Family Graduated Fee and Family Advocacy claim forms,LAA,Guidance,English,NA,claim-5a-fas-completion-guidance.pdf,PDF,GOV.UK,NA,384,NA,NULL,N/A,#VALUE!,NA,NA,1,0,Yes,NA
985,Claim Information Form,Claim information form,HMCTS,Form,English,04/2014,claim-information-form-eng.xls,XLS,Formfinder,Commercial Court,362,298,NULL,#N/A,#N/A,0,0,0,0,No,0
2102,473011,CIV CLAIM1: civil claim form (not fixed fee),LAA,Guidance,English,NA,claim1-cc1-court-assessed-checklist.pdf,PDF,GOV.UK,NA,1524,NA,NULL,N/A,#VALUE!,NA,NA,1,1,Yes,NA
2101,473016,CIV CLAIM1: civil claim form (not fixed fee),LAA,Form,English,NA,claim1-judicial-review-laa-assessed-checklist.pdf,PDF,GOV.UK,NA,684,NA,NULL,#N/A,#N/A,NA,NA,1,1,Yes,NA
2103,473018,CIV CLAIM1: civil claim form (not fixed fee),LAA,Guidance,English,NA,claim1-lc1-laa-assessed-checklist.pdf,PDF,GOV.UK,NA,1344,NA,NULL,N/A,#VALUE!,NA,NA,1,1,Yes,NA
2104,473013,CIV CLAIM1: civil claim form (not fixed fee),LAA,Other,English,NA,claim1-v-hcc-checklist.pdf,PDF,GOV.UK,NA,708,NA,NULL,N/A,#VALUE!,NA,NA,1,0,Yes,NA
2098,473022,CIV CLAIM1A: fixed fee public and private law schemes,LAA,Form,English,NA,claim1a-cc1a-court-assessed-checklist.pdf,PDF,GOV.UK,NA,2292,NA,NULL,#N/A,#N/A,NA,NA,1,1,Yes,NA
2099,473023,CIV CLAIM1A: fixed fee public and private law schemes,LAA,Guidance,English,NA,claim1a-lc1a-laa-assessed-checklist.pdf,PDF,GOV.UK,NA,1920,NA,NULL,N/A,#VALUE!,NA,NA,1,1,Yes,NA
986,CMIS,Case management information sheet,HMCTS,Form,English,01/2012,cmis-eng.doc,DOC,Formfinder,Mercantile Court,147,114,NULL,#N/A,#N/A,0,0,0,0,No,0
2282,398769,Claims Management Regulator - Conduct report form,MOJ,Form,English,NA,CMR_conduct_report_form.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,GOV.UK,NA,684,NA,NULL,#N/A,#N/A,NA,NA,1,0,No,NA
2281,321282,Claims Management Regulation complaint form,MOJ,Form,English,NA,cmr-complaint-form.doc,DOC,GOV.UK,NA,60,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
486,COA bundle index A1/A2/A3,First appeal from the High Court,HMCTS,Form,English,09/2016,coa-bundle-index-a1-a2-a3-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,650,556,"c(""a1"", ""a2"", ""n460"")",88,1,1,0,0,0,No,0
487,COA bundle index A1/A2/A3A,Second appeal from the High Court,HMCTS,Form,English,09/2016,coa-bundle-index-a1-a2-a3a-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,104,92,"c(""a1"", ""a2"", ""n460"")",135,1,1,0,0,0,No,0
217,COA bundle index A2 (EAT),Appeal from an Employment Appeal Tribunal,HMCTS,Form,English,09/2016,coa-bundle-index-a2-(eat)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,249,188,"c(""a2"", ""et1"", ""n460"", ""et3"")",126,1,3,0,0,0,No,0
488,COA bundle index A2 (FA),First appeal in a bankruptcy or insolvency matter,HMCTS,Form,English,09/2016,coa-bundle-index-a2-(fa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,5,5,"c(""a2"", ""n460"")",81,1,1,0,0,0,No,0
489,COA bundle index A2 (SA),Second appeal in bankruptcy or insolvency matters,HMCTS,Form,English,09/2016,coa-bundle-index-a2-(sa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,#N/A,#N/A,"c(""a2"", ""n460"")",132,1,1,0,0,0,No,0
987,COA bundle index A3/C3,Appeal from the Upper Tribunal Administrative Appeals Chamber or Tax and Chancery Chamber,HMCTS,Form,English,09/2016,coa-bundle-index-a3-c3-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,59,49,c3,131,1,0,0,0,0,No,0
490,COA bundle index A3A,Intellectual property first appeal,HMCTS,Form,English,09/2016,coa-bundle-index-a3a-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,50,42,n460,78,1,1,0,0,0,No,0
491,COA bundle index A3B,Intellectual property second appeal,HMCTS,Form,English,09/2016,coa-bundle-index-a3b-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,8,7,n460,143,1,1,0,0,0,No,0
492,COA bundle index B2/B5 (FA),First appeal from the County Court,HMCTS,Form,English,09/2016,coa-bundle-index-b2-b5-(fa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,274,223,n460,72,1,1,0,0,0,No,0
493,COA bundle index B2/B5 (SA),"Second appeal from County Court, except homelessness",HMCTS,Form,English,09/2016,coa-bundle-index-b2-b5-(sa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,5,5,n460,111,1,1,0,0,0,No,0
494,COA bundle index B3 (FA),First appeal in a personal injury or clinical negligence matter,HMCTS,Form,English,09/2016,coa-bundle-index-b3-(fa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,57,42,n460,109,1,1,0,0,0,No,0
495,COA bundle index B3 (SA),Second appeal in personal injury or clinical negligence matters,HMCTS,Form,English,09/2016,coa-bundle-index-b3-(sa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,2,2,n460,144,1,1,0,0,0,No,0
336,COA bundle index B4 (FA),First appeal in a child case,HMCTS,Form,English,09/2016,coa-bundle-index-b4-(fa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,201,155,"c(""c1"", ""c100"", ""c2"", ""c110a"")",75,1,2,0,0,0,No,0
337,COA bundle index B4 (SA),Second appeal in a child case,HMCTS,Form,English,09/2016,coa-bundle-index-b4-(sa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,3,3,"c(""c1"", ""c100"", ""c2"", ""c110a"")",109,1,2,0,0,0,No,0
988,COA bundle index B5,Homelessness appeal,HMCTS,Form,English,09/2016,coa-bundle-index-b5-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,48,41,none detected,86,1,0,0,0,0,No,0
989,COA bundle index B6 (FA),First appeal in divorce financial remedies matters,HMCTS,Form,English,09/2016,coa-bundle-index-b6-(fa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,64,53,none detected,75,1,0,0,0,0,No,0
990,COA bundle index B6 (SA),Second appeal in divorce financial remedies matters,HMCTS,Form,English,09/2016,coa-bundle-index-b6-(sa)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,4,4,none detected,109,1,0,0,0,0,No,0
218,COA bundle index C1/C4/T3,Judicial review appeal from the Administrative Court,HMCTS,Form,English,09/2016,coa-bundle-index-c1-c4-t3-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,176,152,"c(""c1"", ""n461"", ""n460"", ""c4"", ""n462"")",170,1,3,0,0,0,No,0
991,COA bundle index C2/C3/A3,Judicial review from the Upper Tribunal,HMCTS,Form,English,09/2016,coa-bundle-index-c2-c3-a3-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,53,48,"c(""c2"", ""c3"")",193,1,0,0,0,0,No,0
992,COA bundle index C3 (CAT),Appeal from the Competition Appeal Tribunal,HMCTS,Form,English,09/2016,coa-bundle-index-c3-(cat)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,39,35,c3,71,1,0,0,0,0,No,0
993,COA bundle index C3 (UTLC),Appeal from the Upper Tribunal Lands Chamber,HMCTS,Form,English,09/2016,coa-bundle-index-c3-(utlc)-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,1,1,c3,123,1,0,0,0,0,No,0
219,COA bundle index C4/C1,Judicial review appeal from the Administrative Court or judicial review of decision of Upper Tribunal,HMCTS,Form,English,09/2016,coa-bundle-index-c4-c1-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,112,97,"c(""c1"", ""n461"", ""n460"", ""c4"", ""n462"")",165,1,3,0,0,0,No,0
338,COA bundle index C6,Judicial review of administrative review decision or appeal from UTIAC,HMCTS,Form,English,09/2016,coa-bundle-index-c6-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,58,46,"c(""t480"", ""t482"")",185,1,2,0,0,0,No,0
994,COA bundle index T2,Appeal from the Special Immigration Appeal Commission,HMCTS,Form,English,09/2016,coa-bundle-index-t2-eng.doc,DOC,Formfinder,Court of Appeal Civil Division,21,20,none detected,83,1,0,0,0,0,No,0
2340,601527,Cofrestru atwrneiaeth barhaus,OPG,Other,English,NA,Cofrestru-atwrneiaeth-barhaus.zip,ZIP,GOV.UK,NA,36,NA,NULL,N/A,#VALUE!,NA,NA,0,0,No,NA
995,Comp 1,Winding-up petition,HMCTS,Form,English,04/2017,comp-1-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,3043,2604,none detected,760,3,0,0,0,0,No,1
996,Comp 2,Verification of the petition,HMCTS,Form,English,04/2017,comp-2-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,1197,1030,none detected,319,1,0,0,1,0,No,0
997,Comp 3,Certificate of Compliance,HMCTS,Form,English,04/2017,comp-3-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,304,255,none detected,144,1,0,0,1,0,No,0
998,Comp 4,Notice of persons intending to appear,HMCTS,Form,English,04/2017,comp-4-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,275,239,none detected,235,1,0,0,1,0,No,0
999,Comp 5,List of appearances,HMCTS,Form,English,04/2017,comp-5-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,174,157,none detected,146,1,0,0,0,0,No,0
1000,Comp 7,Petition by office holder,HMCTS,Form,English,04/2017,comp-7-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,309,249,none detected,562,2,0,0,0,0,No,1
1001,Comp 8,Administration application,HMCTS,Form,English,04/2017,comp-8-eng.doc,DOC,Formfinder,Bankruptcy and Insolvency,233,199,b1,781,3,0,0,1,0,Yes,0
2033,612162,Submit a conditional discharge report for restricted patients,HMPPS,Form,English,NA,conditional-discharge-report-form.docx,application/vnd.openxmlformats-officedocument.wordprocessingml.document,GOV.UK,NA,0,NA,NULL,#N/A,#N/A,NA,NA,1,0,No,NA
2216,581118,Housing Possession Court Duty Schemes (HPCDS),LAA,Form,English,NA,contract-report-form.xls,inode/x-empty,GOV.UK,NA,204,NA,NULL,#N/A,#N/A,NA,NA,0,0,No,NA
1002,Control Order,Claim form (Under Section 11),HMCTS,Form,English,05/2005,control-order-eng.doc,DOC,Formfinder,Administrative Court,64,58,none detected,588,2,0,0,1,0,No,1
339,COP DLA,Ffurflen gais Colli Rhyddid I'w hystyried ar frys,HMCTS,Form,Welsh,01/2012,cop-dla-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""cop dlb"", ""cop dlc"")",733,3,2,0,0,0,Yes,0
496,COP DLA,Deprivation of liberty application form - For urgent consideration,HMCTS,Form,English,07/2015,cop-dla-eng.pdf,PDF,Formfinder,Court of Protection,663,594,"c(""a1"", ""cop dlb"")",644,2,1,0,1,0,Yes,1
1004,COP DLB,Colli Rhyddid Datganiad brys eithriadol,HMCTS,Form,Welsh,12/2013,cop-dlb-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,290,1,0,0,0,0,No,0
1003,COP DLB,Deprivation of liberty - Declaration of exceptional urgency,HMCTS,Form,English,07/2015,cop-dlb-eng.pdf,PDF,Formfinder,Court of Protection,164,148,a1,264,1,0,0,1,0,No,0
1005,COP DLC,Colli Rhyddid Ffurflen caniatad,HMCTS,Form,Welsh,04/2009,cop-dlc-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,111,1,0,0,0,0,No,0
1007,COP DLD,Colli Rhyddid - Tystysgrif cyflwyno/dim cyflwyno; Tystysgrif hysbysu/dim hysbysu,HMCTS,Form,Welsh,04/2009,cop-dld-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,141,1,0,0,0,0,No,0
1006,COP DLD,Deprivation of liberty Certificate of service non service Certificate of notification non notification,HMCTS,Form,English,07/2015,cop-dld-eng.pdf,PDF,Formfinder,Court of Protection,121,112,none detected,57,1,0,0,1,0,No,0
1009,COP DLE,Colli Rhyddid - Cydnabyddiad cyflwyno/hysbysu,HMCTS,Form,Welsh,04/2009,cop-dle-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,206,1,0,0,0,0,No,0
1008,COP DLE,Acknowledgment of service / notification,HMCTS,Form,English,07/2015,cop-dle-eng.pdf,PDF,Formfinder,Court of Protection,346,298,a1,164,1,0,0,1,0,No,0
497,COP DOL10,Cais i awdurdodi colli rhyddid (adran 4A(3) a 16(2)(a) o Ddeddf Galluedd Meddyliol 2005),HMCTS,Form,Welsh,10/2014,cop-dol10-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""a1"", ""cop3"")",3823,12,1,0,0,0,Yes,0
220,COP DOL10,Application to authorise a deprivation of liberty,HMCTS,Form,English,03/2017,cop-dol10-eng.pdf,PDF,Formfinder,Court of Protection,1928,1697,"c(""a1"", ""cop3"", ""form p"")",4763,15,3,0,1,0,Yes,1
46,COP FAQ,Making an application to the Court of Protection - Frequently asked questions,HMCTS,Leaflet,English,07/2017,cop-faq-eng.pdf,PDF,Formfinder,Court of Protection,480,465,"c(""cop1"", ""cop24"", ""cop9"", ""cop3"", ""cop1a"", ""cop1b"", ""cop4"", ""cop44a"")",N/A,#VALUE!,8,0,1,0,No,0
47,COP GN1,Ceisiadau am benodi dirprwy ar gyfer eiddo a materion ariannol,HMCTS,Leaflet,Welsh,12/2013,cop-gn1-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""cop1"", ""cop2"", ""cop24"", ""cop9"", ""cop3"", ""cop44"", ""cop1a"", ""cop4"")",N/A,#VALUE!,8,0,0,0,No,0
70,COP GN1,Applications for the appointment of a deputy for property and financial affairs,HMCTS,Leaflet,English,09/2015,cop-gn1-eng.pdf,PDF,Formfinder,Court of Protection,368,348,"c(""cop gn2"", ""cop1"", ""cop9"", ""cop3"", ""cop44"", ""cop1a"", ""cop4"")",N/A,#VALUE!,7,0,1,0,No,0
221,COP GN2,Arweiniad ar werthu eiddo y mae mwy nag un yn berchen arno,HMCTS,Guidance,Welsh,08/2013,cop-gn2-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""cop1"", ""cop24"", ""cop12"")",N/A,#VALUE!,3,0,0,0,Yes,0
127,COP GN2,Guidance on the sale of jointly owned property,HMCTS,Guidance,English,09/2015,cop-gn2-eng.pdf,PDF,Formfinder,Court of Protection,154,144,"c(""cop1"", ""cop24"", ""cop44"", ""cop12"", ""cop1d"")",N/A,#VALUE!,5,0,1,0,Yes,0
48,COP GN3,Nodyn Canllaw - Ceisiadau gan ddirprwyon cyfredol,HMCTS,Guidance,Welsh,08/2013,cop-gn3-cym.pdf,PDF,Formfinder,Llys Gwarchod,1,1,"c(""cop gn2"", ""cop1"", ""cop24"", ""cop9"", ""cop3"", ""cop44"", ""cop1a"", ""cop1b"")",N/A,#VALUE!,8,0,0,0,Yes,0
163,COP GN3,Applications by existing deputies - Guidance note,HMCTS,Guidance,English,09/2015,cop-gn3-eng.pdf,PDF,Formfinder,Court of Protection,100,93,"c(""cop1"", ""cop24"", ""cop44"", ""cop1e"")",N/A,#VALUE!,4,0,1,0,Yes,0
5,COP GN4,Gwneud cais lles personol i'r Llys Gwarchod,HMCTS,Leaflet,Welsh,08/2013,cop-gn4-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""cop42"", ""cop1"", ""cop2"", ""cop24"", ""cop9"", ""cop3"", ""cop5"", ""cop15"", ""cop44"", ""cop14"", ""cop20a"", ""cop20b"", ""cop10"", ""cop35"", ""cop28"")",N/A,#VALUE!,15,0,0,0,Yes,0
7,COP GN4,Making a personal welfare application to the Court of Protection,HMCTS,Leaflet,English,09/2015,cop-gn4-eng.pdf,PDF,Formfinder,Court of Protection,178,169,"c(""cop1"", ""cop24"", ""cop9"", ""cop3"", ""cop5"", ""cop15"", ""cop44"", ""cop14"", ""cop20a"", ""cop20b"", ""cop1b"", ""cop10"", ""cop35"", ""cop28"")",N/A,#VALUE!,14,0,1,0,Yes,0
128,COP GN5,Dod i Wrandawiad yn y Llys Gwarchod yn Llundain neu yn un o'n llysoedd rhanbarthol,HMCTS,Leaflet,Welsh,12/2013,cop-gn5-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""ex160"", ""a1"", ""a5"", ""cop24"", ""a2"", ""cop9"", ""a4"", ""cop14"", ""cop20a"", ""c7"", ""c2"", ""c5"", ""c3"", ""c4"", ""c8"")",N/A,#VALUE!,5,0,0,0,No,0
99,COP GN5,Coming for a hearing at the Court of Protection in London or at one of our regional courts,HMCTS,Leaflet,English,09/2015,cop-gn5-eng.pdf,PDF,Formfinder,Court of Protection,32,30,"c(""a1"", ""a5"", ""cop24"", ""a2"", ""cop9"", ""a4"", ""cop44"", ""cop14"", ""cop20a"", ""ex160a"")",N/A,#VALUE!,6,0,0,0,No,0
1010,COP GN6,Ceisiadau i'r Llys Gwarchod yng nghyswllt cytundebau tenantiaeth sengl a lluosog,HMCTS,Leaflet,Welsh,08/2013,cop-gn6-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
1011,COP GN7,Polisi rhestru - gwybodaeth i ddefnyddwyr y llys,HMCTS,Leaflet,Welsh,08/2013,cop-gn7-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none detected,N/A,#VALUE!,0,0,0,0,No,0
340,COP GN8,"Ceisiadau am Ewyllysiau Statudol, Rhoddion, Setliadau a thrafodion eraill yn ymwneud ag eiddo P",HMCTS,Leaflet,Welsh,08/2013,cop-gn8-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,"c(""cop42"", ""cop1"")",N/A,#VALUE!,2,0,0,0,No,0
164,COP GN8,"Applications for statutory wills, gifts, settlements and other dealings with P's property",HMCTS,Leaflet,English,09/2015,cop-gn8-eng.pdf,PDF,Formfinder,Court of Protection,127,114,"c(""cop1"", ""cop3"", ""cop44"", ""cop1c"")",N/A,#VALUE!,4,0,1,0,No,0
1013,COP1,Ffurflen gais / Application form,HMCTS,Form,Welsh,03/2010,cop1-bil.pdf,PDF,Formfinder,Court of Protection,#N/A,#N/A,none detected,36,1,0,35,0,0,Yes,0
1012,COP1,Ffurflen gais,HMCTS,Form,Welsh,08/2015,cop1-cym.pdf,PDF,Formfinder,Llys Gwarchod,4,3,none detected,232,1,0,35,0,0,Yes,0
4,COP1,Court of Protection Application Form,HMCTS,Form,English,07/2015,cop1-eng.pdf,PDF,Formfinder,Court of Protection,22719,19821,"c(""cop42"", ""cop gn4"", ""cop gn1"", ""cop gn2"", ""a1"", ""cop24"", ""cop9"", ""cop gn8"", ""cop3"", ""cop44"", ""cop1a"", ""cop1b"", ""cop35"", ""cop12"", ""cop1c"", ""cop1d"", ""cop1e"", ""cop1f"", ""cop4"", ""cop gn3"")",3033,10,19,35,1,0,Yes,1
499,COP10,Hysbysiad o gais ar gyfer ceisiadau i ymuno fel parti / Application notice for applications to be joined as a party,HMCTS,Form,Welsh,03/2010,cop10-bil.pdf,PDF,Formfinder,Court of Protection,#N/A,#N/A,cop9,565,2,1,5,1,0,Yes,1
498,COP10,Hysbysiad o gais ar gyfer ceisiadau i ymuno fel parti,HMCTS,Form,Welsh,12/2013,cop10-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,cop9,587,2,1,5,0,0,Yes,0
100,COP10,Application notice for applications to be joined as a party,HMCTS,Form,English,07/2015,cop10-eng.pdf,PDF,Formfinder,Court of Protection,598,520,"c(""cop1"", ""cop24"", ""cop9"", ""cop5"", ""cop15"", ""cop44"")",783,3,6,5,1,0,Yes,1
501,COP12,Ymgymeriad arbennig gan ymddiriedolwyr,HMCTS,Form,Welsh,01/2012,cop12-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,cop1,44,1,1,4,0,0,No,0
500,COP12,Special undertaking by trustees,HMCTS,Form,English,01/2012,cop12-eng.pdf,PDF,Formfinder,Court of Protection,769,692,cop1,47,1,1,4,1,0,No,0
1016,COP14,Achos yn eich cylch yn y Llys Gwarchod / Proceedings about you in the Court of Protection,HMCTS,Form,Welsh,03/2010,cop14-bil.pdf,PDF,Formfinder,Court of Protection,#N/A,#N/A,none detected,70,1,0,9,0,0,No,0
1015,COP14,Achos yn eich cylch chi yn y Llys Gwarchod,HMCTS,Form,Welsh,12/2013,cop14-cym.pdf,PDF,Formfinder,Llys Gwarchod,3,1,none detected,141,1,0,9,0,0,No,0
1014,COP14,Proceedings about you in the Court of Protection,HMCTS,Form,English,12/2013,cop14-eng.pdf,PDF,Formfinder,Court of Protection,4747,4232,none detected,135,1,0,9,1,0,No,0
222,COP14A,Guidance notes,HMCTS,Guidance,English,09/2015,cop14a-eng.pdf,PDF,Formfinder,Court of Protection,332,312,"c(""cop5"", ""cop14"", ""cop20a"")",N/A,#VALUE!,3,3,0,0,No,0
1017,COP15,Hysbysiad bod y ffurflen gais wedi'i chyhoeddi / Notice that an application form has been issued,HMCTS,Form,Welsh,03/2010,cop15-bil.pdf,PDF,Formfinder,Court of Protection,#N/A,#N/A,none detected,64,1,0,11,0,0,No,0
503,COP15,Hysbysiad bod ffurflen gais wedi'i chyhoeddi,HMCTS,Form,Welsh,12/2013,cop15-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,cop5,215,1,1,11,0,0,No,0
502,COP15,Notice that an application form has been issued,HMCTS,Form,English,12/2013,cop15-eng.pdf,PDF,Formfinder,Court of Protection,2678,2403,cop5,216,1,1,11,0,0,No,0
165,COP15A,Guidance notes,HMCTS,Guidance,English,09/2015,cop15a-eng.pdf,PDF,Formfinder,Court of Protection,119,114,"c(""cop1"", ""cop5"", ""cop15"", ""cop20b"")",N/A,#VALUE!,4,3,0,0,No,0
1018,COP1A,Atodiad A - Gwybodaeth ategol ar gyfer ceisiadau ynghylch eiddo a materion ariannol / Annex A - Supporting information for property and affairs applications,HMCTS,Form,Welsh,03/2010,cop1a-bil.pdf,PDF,Formfinder,Court of Protection,1,1,none detected,11,1,0,8,0,0,No,0
504,COP1A,Annex A - Supporting information for property and affairs applications,HMCTS,Form,English,07/2015,cop1a-eng.pdf,PDF,Formfinder,Court of Protection,9976,9059,cop1,1739,6,1,8,1,0,No,1
1019,COP1B,Atodiad B - Gwybodaeth ategol ar gyfer ceisiadau lles personol / Annex B - Supporting information for personal welfare applications,HMCTS,Form,Welsh,03/2010,cop1b-bil.pdf,PDF,Formfinder,Court of Protection,#N/A,#N/A,none detected,11,1,0,6,0,0,Yes,0
