Unique Form ID (MOJ DIGITAL),Form Reference,Form Title,Agency/Organisation,Form/Guidance/Other,Language,Doc Date,File Name,File Type,Location,Formfinder category,Downloads,Unique Downloads,References,Word Count,Approximate number of pages,Count of references,Number of times that this form is referenced within other forms,Signature,Payment,Attachment,Owner,Processor,End User,Multiple Users on same form,Fields,Internal Logic,Dependencies
699,SEND25,How to appeal a Special Educational Needs and Disability (SEND) Decision,HMCTS,Leaflet,English,09/2014,send25-eng.pdf,PDF,Formfinder,Special Educational Needs and Disability Tribunal,97,84,n19,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
700,T001,Explanatory leaflet - A short guide for users,HMCTS,Leaflet,English,04/2012,t001-eng.pdf,PDF,Formfinder,Charity Tribunal,3,3,ex343,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
701,T006,Canllawiau ar gyfer llenwi Cais I'r Tribiwnlys Haen Gyntaf (Elusennau) am Ganiatad i Apelio I'r Uwch Dribiwnlys,HMCTS,Guidance,Welsh,04/2012,t006-cym.pdf,PDF,Formfinder,Tribiwnlys Elusennol,#N/A,#N/A,t002,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
702,T108B,Telephone case management hearing guide,HMCTS,Leaflet,English,10/2014,t108b-eng.pdf,PDF,Formfinder,Care Standards (First-tier Tribunal),6,6,t108,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
703,T123,Community Treatment Orders (CTO),HMCTS,Leaflet,English,04/2014,t123-eng.pdf,PDF,Formfinder,Mental Health Tribunal,43,39,t128,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
704,T251,Guidance notes on completing the notice of appeal,HMCTS,Guidance,English,03/2015,t251-eng.pdf,PDF,Formfinder,MP Expenses,7,6,mps-expenses-notice-of-appeal,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
705,T36,Guide to completing the notice of appeal (Form T35) (Nitrate Vulnerable Zone),HMCTS,Guidance,English,05/2012,t36-eng.pdf,PDF,Formfinder,Environment Tribunal,5,4,t35,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
706,T400,References to the Upper Tribunal (Tax and Chancery Chamber): Financial services cases,HMCTS,Leaflet,English,11/2014,t400-eng.pdf,PDF,Formfinder,Tax and Chancery Chamber (Upper Tribunal),18,18,ftc3,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
708,T424,The hearing - guidance for claimants,HMCTS,Guidance,English,08/2017,t424-eng.pdf,PDF,Formfinder,Employment Tribunal,409,395,ex343,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
710,T470,Guide for people making an appeal (Gangmasters licensing appeals),HMCTS,Guidance,English,08/2017,t470-eng.pdf,PDF,Formfinder,Gangmasters,25,21,gmappeal-1,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
713,T481 Nodiadau,Nodiadau cyfarwyddyd ar gyfer llenwi ffurflen hawlio'r Adolygiad Barnwrol,HMCTS,Notes,Welsh,08/2013,t481-nodiadau-cym.pdf,PDF,Formfinder,Siambr Mewnfudo a Lloches (Uwch Dribiwnlys),#N/A,#N/A,n461,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
716,T491,Table of Gender Recognition Schemes in Countries and Territories,HMCTS,Leaflet,English,06/2011,t491-eng.pdf,PDF,Formfinder,Gender Recognition Panel,4,4,no.32,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
717,T492,Additonal Guidance Issued by the President on the GRA's Medical Requirements,HMCTS,Guidance,English,12/2005,t492-eng.pdf,PDF,Formfinder,Gender Recognition Panel,4,4,forma,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
718,T499,The War Pensions and Armed Forces Compensation Chamber Short Guide,HMCTS,Guidance,English,04/2011,t499-eng.pdf,PDF,Formfinder,War Pensions and Armed Forces Compensation Chamber,30,29,ex4,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
720,T604,"Explanatory leaflet for compulsory purchase compensation, land compensation disputes and other references",HMCTS,Leaflet,English,01/2016,t604-eng.pdf,PDF,Formfinder,Lands Chamber (Upper Tribunal),32,27,ex160,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
721,T605,"Explanatory leaflet for appeals against decisions of the First-tier Tribunal (Property Chamber) in England, and Leasehold Valuation and Residential Property Tribunals in Wales",HMCTS,Leaflet,English,01/2016,t605-eng.pdf,PDF,Formfinder,Lands Chamber (Upper Tribunal),9,8,ex160,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
722,T606,Explanatory leaflet for appeals against decisions of the Valuation Tribunal for England and the Valuation Tribunal for Wales,HMCTS,Leaflet,English,01/2016,t606-eng.pdf,PDF,Formfinder,Lands Chamber (Upper Tribunal),5,5,ex160,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
723,T617,Procedure flowchart for applications to discharge or modify restrictive covenants affecting land,HMCTS,Leaflet,English,01/2016,t617-eng.pdf,PDF,Formfinder,Lands Chamber (Upper Tribunal),17,16,forma,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
741,UT1 Leaflet,Social Entitlement Leaflet - Appealing to the Administrative Appeals Chamber of the Upper Tribunal England and Wales,HMCTS,Leaflet,English,07/2015,ut1-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),200,184,ut1,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
742,UT1 Nodiadau,Nodiadau i Geisyddion ac Apelyddion Ffurflen UT1 (Hawl Cymdeithasol),HMCTS,Notes,Welsh,11/2008,ut1-nodiadau-cym.pdf,PDF,Formfinder,Siambr Apeliadau Gweinyddol (Uwch Dribiwnlys),#N/A,#N/A,ut1,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
743,UT1 Nodiadau,Nodiadau i Geisyddion ac Apelyddion Ffurflen UT1 (Hawl Cymdeithasol),HMCTS,Notes,Welsh,11/2008,ut1-nodiadau-cym.doc,DOC,Formfinder,Siambr Apeliadau Gweinyddol (Uwch Dribiwnlys),#N/A,#N/A,ut1,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
744,UT1 Taflen,Apelio yn erbyn penderfyniad gan y Siambr Hawl Cymdeithasol y Tribiwnlys Haen Gyntaf (Welsh) (Apelau o benderfyniadau'r Tribiwnlys Haen Gyntaf),HMCTS,Leaflet,Welsh,07/2008,ut1-taflen-cym.pdf,PDF,Formfinder,Siambr Apeliadau Gweinyddol (Uwch Dribiwnlys),#N/A,#N/A,lwfansau,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
746,UT11 Notes,Notes for applicants and appellants - form UT11 (General Regulatory Chamber),HMCTS,Notes,English,11/2014,ut11-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),10,8,ut11,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
747,UT12 Leaflet,Appeals Against decisions of the Traffic Commissioner (Appeals Direct to the Upper Tribunal),HMCTS,Leaflet,English,08/2009,ut12-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),54,53,cb2,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
748,UT12 Notes,Notes for appellants - form UT12 (Traffic Commissioner) appeals,HMCTS,Notes,English,12/2016,ut12-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),55,49,ut12,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
750,UT13 Leaflet,Appealing to the Administrative Appeals Chamber of the Upper Tribunal - Against decisions of the First-Tier Tribunal in information rights cases (General Regulatory Chamber),HMCTS,Leaflet,English,09/2014,ut13-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),23,23,ut13,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
751,UT3 Leaflet,"Appealing against a decision of the Health, Education and Social Care Chamber of the First-tier Tribunal (Mental Health) (Appeals from decisions of the First-tier Tribunal)",HMCTS,Leaflet,English,04/2013,ut3-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),12,10,ut3,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
752,UT3 Notes,Notes for appellants - form UT3 (Mental Health),HMCTS,Notes,English,11/2009,ut3-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),15,15,ut3,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
753,UT4 Leaflet,"Appealing against a decision of the Health, Education and Social Care Chamber of the First-tier Tribunal (Special Educational Needs) (Appeals from decisions of the First-tier Tribunal)",HMCTS,Leaflet,English,04/2014,ut4-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),28,17,ut4,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
754,UT4 Notes,Notes to help you complete Form UT4,HMCTS,Notes,English,42878,ut4-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),35,26,ut4,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
755,UT5 Leaflet,Appealing to the Upper Tribunal Administrative Appeals Chamber from the First-tier Tribunal. Care Standards and NHS (Performers) List Decisions,HMCTS,Leaflet,English,05/2013,ut5-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),6,6,ut5,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
756,UT5 Notes,Notes for applicants and appellants - form UT5 (Health Education & Social Care Chamber Care Standards and NHS (Performers) List),HMCTS,Notes,English,05/2013,ut5-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),18,13,ut5,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
757,UT6 Leaflet,Appealing against a decision of the War Pensions and Armed Forces Compensation Chamber of the First-tier Tribunal (Appeals from decisions of the First-tier Tribunal),HMCTS,Leaflet,English,07/2012,ut6-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),12,9,ut6,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
758,UT6 Leaflet,Appealing against a decision of the War Pensions and Armed Forces Compensation Chamber of the First-tier Tribunal (Appeals from decisions of the First-tier Tribunal),HMCTS,Leaflet,English,04/2013,ut6-leaflet-eng.doc,DOC,Formfinder,Administrative Appeals Chamber (Upper Tribunal),#N/A,#N/A,ut6,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
759,UT6 Notes,Notes for appellants - form UT6 (War Pensions and Armed Forces Compensation),HMCTS,Notes,English,07/2012,ut6-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),8,7,ut6,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
760,UT6 Notes,Notes for appellants - form UT6 (War Pensions and Armed Forces Compensation),HMCTS,Notes,English,07/2012,ut6-notes-eng.doc,DOC,Formfinder,Administrative Appeals Chamber (Upper Tribunal),#N/A,#N/A,ut6,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
763,UT8 Leaflet,"Appealing against a decision of the Health, Education and Social Care Chamber of the First-tier Tribunal (Mental Health Wales) (Appeals from decisions of the First-tier Tribunal)",HMCTS,Leaflet,English,03/2014,ut8-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),2,2,ut8,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
764,UT8 Nodiadau,Nodiadau i Geiswyr ac Apelyddion Ffurflen UT8,HMCTS,Notes,Welsh,04/2012,ut8-nodiadau-cym.pdf,PDF,Formfinder,Tribiwnlys Iechyd Meddwl,#N/A,#N/A,ut8,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
765,UT8 Notes,Notes for applicants and appellants - form UT8 (Mental Health Wales),HMCTS,Notes,English,04/2012,ut8-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),5,5,ut8,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
766,UT8 Taflen,"Apelio yn erbyn penderfyniad gan y Siambr Gofal Iechyd, Addysg a Gwasanaethau Cymdeithasol y Tribiwnlys Haen Gyntaf (Iechyd Meddwl) (Apelau o benderfyniadau'r Tribiwnlys Haen Gyntaf)",HMCTS,Leaflet,Welsh,07/2008,ut8-taflen-cym.pdf,PDF,Formfinder,Siambr Apeliadau Gweinyddol (Uwch Dribiwnlys),#N/A,#N/A,ut8,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
768,UT9 Leaflet,"Appealing against a decision of the Health, Education and Social Care Chamber of the First-tier Tribunal (Special Educational Needs Wales) (Appeals from decisions of the First-tier Tribunal)",HMCTS,Leaflet,English,05/2009,ut9-leaflet-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),3,3,ut9,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
769,UT9 Notes,Notes for applicants and appellants - form UT9 (Appeals from Special Educational Needs Tribunal for Wales),HMCTS,Notes,English,04/2012,ut9-notes-eng.pdf,PDF,Formfinder,Administrative Appeals Chamber (Upper Tribunal),6,6,ut9,N/A,#VALUE!,1,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
770,UT9 Taflen,"Apelio yn erbyn penderfyniad gan y Siambr Gofal Iechyd, Addysg a Gwasanaethau Cymdeithasol y Tribiwnlys Haen Gyntaf (Anghenion Addysgol Arbennig Cymru) (Apelau o benderfyniadau'r Tribiwnlys Haen Gyntaf)",HMCTS,Leaflet,Welsh,06/2009,ut9-taflen-cym.pdf,PDF,Formfinder,Siambr Apeliadau Gweinyddol (Uwch Dribiwnlys),#N/A,#N/A,ut9,N/A,#VALUE!,1,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
775,A/E,Your guide to the Attachment of Earnings Act 1971,HMCTS,Guidance,English,11/2014,a-e-eng.pdf,PDF,Formfinder,Attachment of Earnings,469,439,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
787,A20,Mabwysiadu: Arweiniad i Ddefnyddwyr y Llysoedd / Adoption: A Guide for Court Users,HMCTS,Guidance,Welsh,10/2003,a20-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,3,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
792,A50 Nodiadau / A50 Notes,Cais am Orchymyn Lleoli (Ffurflen A50) Nodiadau ar lenwi'r ffurflen / Application for a Placement Order (Form A50) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a50-nodiadau-a50-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
795,A51 Nodiadau / A51 Notes,Cais i amrywio gorchymyn lleoli (Ffurflen 51) Nodiadau ar lenwi'r ffurflen / Application for variation of a placement order (Form A51) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a51-nodiadau-a51-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
802,A54 Nodiadau / A54 Notes,Cais i amrywio neu ddiddymu gorchymyn cyswllt a wnaed dan adran 26 Deddf Mabwysiadu a Phlant 2002 (Ffurflen A54) Nodiadau ar lenwi'r ffurflen / Application for variation or revocation of a contact order made under section 26 of the Adoption and Children Act 2002 (Form A54) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a54-nodiadau-a54-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
805,A55 Nodiadau / A55 Notes,Cais am ganiatâd i newid cyfenw plentyn (Ffurflen A55)Nodiadau ar lenwi'r ffurflen / Application for permission to change a child's surname (Form A55)Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a55-nodiadau-a55-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
814,A62 Nodiadau / A62 Notes,Cais am gyfarwyddyd dan adran 88(1) Deddf Mabwysiadu a Phlant 2002 (Ffurflen A62)Nodiadau ar lenwi'r ffurflen / Application for a direction under section 88(1) of the Adoption and Children Act 2002 (Form A62) Notes on completing the form,HMCTS,Notes,Welsh,12/2005,a62-nodiadau-a62-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
817,A63 Nodiadau / A63 Notes,Cais am orchymyn i ddirymu mabwysiad dan y Cytundeb neu orchymyn mabwysiadu dan y Cytundeb neu i fabwysiad tramor neu benderfyniad dan adran 91 beidio â bod yn ddilys (Ffurflen A63) / Application for an order to annul a Convention adoption or Convention adoption order or for an overseas adoption or determination under section 91 to cease to be valid (Form A63),HMCTS,Notes,Welsh,12/2005,a63-nodiadau-a63-notes-bil.pdf,PDF,Formfinder,Adoption,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
826,AC013,Guidance as to how the parties should assist the Court when applications for costs are made following settlement of claims for judicial review (April 2016),HMCTS,Guidance,English,09/2016,ac013-eng.pdf,PDF,Formfinder,Administrative Court,13,13,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
828,AC015,Regionalisation guidance,HMCTS,Guidance,English,08/2016,ac015-eng.pdf,PDF,Formfinder,Administrative Court,8,8,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
829,AC016,Appeals under Section 289 of the Town and Country Planning Act 1990. Notes for guidance for court users,HMCTS,Guidance,English,08/2016,ac016-eng.pdf,PDF,Formfinder,Administrative Court,10,10,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
830,AC017,Claims for planning statutory review. Notes for guidance for court users,HMCTS,Guidance,English,08/2016,ac017-eng.pdf,PDF,Formfinder,Administrative Court,9,9,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
845,ADM1C,Notes for defendant on replying to an admiralty claim form,HMCTS,Notes,English,02/2013,adm1c-eng.pdf,PDF,Formfinder,Admiralty,14,12,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
846,ADM1C,Nodiadau I'r diffynnydd ar ymateb i ffurflen hawlio'r Morlys / Notes for defendant on replying to an admiralty claim form,HMCTS,Notes,Welsh,10/2008,adm1c-bil.pdf,PDF,Formfinder,#N/A,#N/A,#N/A,no data,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
858,AE Canllaw,Canllawiau i GyFLogwyr i Ddeddf Atafaelu Enillion 1971,HMCTS,Leaflet,Welsh,07/2004,ae-canllaw-cym.pdf,PDF,Formfinder,Atafaelu Enillion,1,1,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
859,AE Faq,Gorchmynion Atafaelu enillion gogyfer a dirwyon troseddol Peilot Cenedlaethol mis Ebrill 2004,HMCTS,Guidance,Welsh,07/2004,ae-faq-cym.pdf,PDF,Formfinder,Atafaelu Enillion,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
860,AJ20,Siarter Llysoedd - Y Llysoedd Sifil,HMCTS,Leaflet,Welsh,11/2006,aj20-cym.pdf,PDF,Formfinder,Siarter y llysoedd,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
861,AJ22,Courts charter - The Royal Courts of Justice,HMCTS,Leaflet,English,10/2008,aj22-eng.pdf,PDF,Formfinder,Courts Charter,6,6,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
862,AJ24,Courts charter - The Probate Service,HMCTS,Leaflet,English,11/2007,aj24-eng.pdf,PDF,Formfinder,Courts Charter,11,10,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
863,AJ24,Siarter Llysoedd - Y Gwasanaeth Profiant,HMCTS,Leaflet,Welsh,11/2007,aj24-cym.pdf,PDF,Formfinder,Siarter y llysoedd,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
864,AJ25,Siarter Llysoedd - Llysoedd Teulu,HMCTS,Leaflet,Welsh,12/2006,aj25-cym.pdf,PDF,Formfinder,Siarter y llysoedd,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
865,AJ26,Courts charter - Magistrates' Courts,HMCTS,Leaflet,English,11/2006,aj26-eng.pdf,PDF,Formfinder,Courts Charter,7,7,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
866,AJ26,Siarter Llysoedd - Y Llys Ynadon,HMCTS,Leaflet,Welsh,11/2006,aj26-cym.pdf,PDF,Formfinder,Siarter y llysoedd,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
867,Allowances,Allowances,HMCTS,Leaflet,English,05/2011,allowances-eng.pdf,PDF,Formfinder,Jury Service,133,119,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
871,Application for anonymity notes (IAT),Application for anonymity guidance notes (IAT),HMCTS,Guidance,English,08/2012,application-for-anonymity-notes-(iat)-eng.pdf,PDF,Formfinder,Immigration and Asylum Tribunal,75,71,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
872,Application for anonymity notes (UTIAC),Application for anonymity - Guidance Notes (UTIAC),HMCTS,Guidance,English,11/2013,application-for-anonymity-notes-(utiac)-eng.pdf,PDF,Formfinder,Immigration and Asylum Chamber (Upper Tribunal),9,9,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
873,Attachment of Earnings Orders for criminal fines National Pilot April 2004,Attachment of Earnings Orders for criminal fines national pilot (April 2004),HMCTS,Leaflet,English,06/2004,attachment-of-earnings-orders-for-criminal-fines-national-pilot-april-2004-eng.pdf,PDF,Formfinder,County Court,29,29,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
911,C1A Nodiadau / C1A Notes,Nodiadau Canllaw ar gyfer Ffurflen Gwybodaeth Ychwanegol C1A / Notes for Guidance for Supplemental Information Form C1A,HMCTS,Guidance,Welsh,01/2005,c1a-nodiadau-c1a-notes-bil.pdf,PDF,Formfinder,Children Act,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
912,C1A Notes,Notes for guidance for supplemental information form C1A,HMCTS,Guidance,English,01/2005,c1a-notes-eng.pdf,PDF,Formfinder,Children Act,1389,1305,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
932,Case Management Information Sheet,Case Management Information Sheet,HMCTS,Leaflet,English,04/2005,case-management-information-sheet-eng.doc,DOC,Formfinder,Children Act,47,44,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
933,CB6,Canllaw i egluro rhai geiriau ac ymadroddion a ddefnyddir mewn achosion preifat sy'n ymwneud a phlant,HMCTS,Guidance,Welsh,07/2015,cb6-cym.pdf,PDF,Formfinder,Deddf Plant,#N/A,#N/A,none,N/A,#VALUE!,0,1,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
934,CB7,Canllaw i rieni wedi gwahanu: plant a'r llysoedd teulu,HMCTS,Guidance,Welsh,09/2015,cb7-cym.pdf,PDF,Formfinder,Deddf Plant,1,1,none,N/A,#VALUE!,0,11,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
979,Child support: How to appeal (England),Child support: How to appeal,HMCTS,Leaflet,English,10/2013,child-support-how-to-appeal-(england)-eng.pdf,PDF,Formfinder,Social Security and Child Support,167,148,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
980,Child support: How to appeal (Scotland),Child support: How to appeal (Scotland),HMCTS,Leaflet,English,10/2013,child-support-how-to-appeal-(scotland)-eng.pdf,PDF,Formfinder,Social Security and Child Support,4,4,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
981,CIC Guide 1996,Guide to the Criminal Injuries Compensation Scheme 1996,HMCTS,Guidance,English,04/1999,cic-guide-1996-eng.pdf,PDF,Formfinder,Criminal Injuries Compensation,34,27,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
982,CIC Guide 2001,Guide to the Criminal Injuries Compensation Scheme 2001,HMCTS,Guidance,English,12/2007,cic-guide-2001-eng.pdf,PDF,Formfinder,Criminal Injuries Compensation,14,14,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
983,CIC Guide 2008,Guide to the Criminal Injuries Compensation Scheme 2008,HMCTS,Guidance,English,07/2014,cic-guide-2008-eng.pdf,PDF,Formfinder,Criminal Injuries Compensation,48,40,none,N/A,#VALUE!,0,0,NA,0,TRUE,NA,NA,NA,NA,NA,NA,NA
984,CIC Guide 2012,Guide to the Criminal Injuries Compensation Scheme 2012,HMCTS,Guidance,English,07/2014,cic-guide-2012-eng.pdf,PDF,Formfinder,Criminal Injuries Compensation,51,43,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1010,COP GN6,Ceisiadau i'r Llys Gwarchod yng nghyswllt cytundebau tenantiaeth sengl a lluosog,HMCTS,Leaflet,Welsh,08/2013,cop-gn6-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
1011,COP GN7,Polisi rhestru - gwybodaeth i ddefnyddwyr y llys,HMCTS,Leaflet,Welsh,08/2013,cop-gn7-cym.pdf,PDF,Formfinder,Llys Gwarchod,#N/A,#N/A,none,N/A,#VALUE!,0,0,NA,0,FALSE,NA,NA,NA,NA,NA,NA,NA
